Actual_High,Actual_Low,Predicted_High_XGBoost,Predicted_Low_XGBoost
213.95,213.82,213.96124,213.7105
217.06,216.91,216.9094,216.6721
232.7,232.675,232.72768,232.66687
230.25,230.19,230.18661,229.98573
214.34,214.32,214.36093,214.25203
216.49,216.32,216.58826,216.35905
229.19,229.18,229.29652,229.00122
209.99,209.98,209.9767,209.9501
226.38,226.36,226.37834,226.56534
211.38,211.29,211.46141,211.37177
230.1,230.02,230.21648,229.77065
225.77,225.65,225.8065,225.54851
215.19,214.89,215.2197,214.99426
221.69,221.64,221.62206,221.65422
209.15,209.1,209.16191,209.09631
227.98,227.87,227.9127,227.88048
223.73,223.45,223.252,222.58963
214.22,214.2,214.24129,214.17899
214.18,214.1,214.20894,214.13814
215.99,215.99,216.16045,215.99185
213.455,213.21,213.41638,213.29128
210.77,210.535,210.90276,210.81493
228.56,228.39,228.49261,228.3277
232.55,232.5,232.60707,232.56764
216.2,216.1,216.18146,215.98505
216.96,216.75,216.93938,216.69919
214.06,213.9,214.09175,213.92244
219.55,219.54,219.63168,219.4398
209.73,209.63,209.7257,209.55322
230.68,230.5,230.72418,230.54396
211.53,211.47,211.58438,211.55853
232.18,231.995,232.13896,231.99867
210.02,209.91,209.90935,209.72527
213.4,213.19,213.36345,213.26805
215.09,214.71,214.95093,214.97874
207.8,207.486,207.9562,207.67336
210.26,210.17,210.24585,210.09627
228.91,228.75,228.98965,228.61865
215.8,215.77,215.82764,215.68355
232.45,232.41,232.46436,232.45175
228.85,228.8,228.96777,228.65506
229.09,229.06,229.01688,228.97357
228.22,228.17,228.30461,228.20883
227.36,227.32,227.47295,227.45988
228.42,228.03,228.41832,228.07567
212.69,212.54,212.56502,212.58556
228.64,228.36,228.68468,228.53093
221.8,221.7,222.06989,222.3634
218.705,218.2,218.53117,218.05298
214.93,214.8,215.16692,214.90962
209.85,209.78,209.86693,209.72975
214.18,213.29,214.17424,213.50124
221.54,221.4,221.53442,221.39047
209.99,209.93,209.91904,209.94244
229.17,229.12,229.0236,229.27582
209.12,209.09,209.14377,209.11801
229.99,229.35,230.07727,229.38533
210.06,209.92,210.08388,209.9389
230.95,230.8,230.7887,230.6332
212.15,212.03,212.1876,212.04565
213.155,213.1,213.22862,213.07828
210.8,210.61,210.88301,210.58478
229.2,229.13,229.47067,229.22353
215.95,215.88,215.80516,215.66719
229.64,228.205,229.24687,227.57574
216.38,216.16,216.62723,216.36066
214.29,214.23,214.2464,214.24918
209.64,209.6,209.58188,209.56473
228.35,228.06,228.1968,228.05667
232.14,232.08,232.21269,232.04118
213.19,213.17,213.12189,213.09795
213.925,213.785,213.92584,213.92842
219.84,219.73,219.75838,219.74193
227.83,227.75,227.8788,227.77661
208.79,208.71,208.872,208.68863
213.11,213.01,213.12506,213.06169
214.49,214.38,214.39616,214.23665
207.73,207.7,207.6786,207.65744
207.73,207.72,207.76732,207.68993
218.44,218.305,218.4548,218.2028
210.12,210.03,210.05942,210.06662
212.39,211.79,212.54283,211.6212
210.75,210.37,211.15125,210.51389
211.32,210.64,211.56265,211.0759
221.4,221.22,221.38585,221.36841
227.56,227.5,227.5641,227.48734
219.07,218.7,219.0842,218.5261
227.47,227.41,227.499,227.48734
221.75,221.53,221.65433,221.55202
226.671,226.36,226.75763,226.4286
214.005,213.885,214.08533,213.93665
232.02,231.51,232.02025,231.5439
210.18,209.51,210.38205,209.76013
214.25,214.16,214.22377,214.16142
227.99,227.75,227.98656,227.8314
214.24,214.14,214.22185,214.03926
217.345,217.12,217.70102,217.45381
207.49,207.4,207.46472,207.42181
213.75,213.67,213.6955,213.68091
214.0,213.99,214.03792,213.96332
209.62,209.41,209.86086,209.51292
229.36,229.3,229.29778,229.33002
213.69,213.09,213.61128,213.09312
211.75,211.49,211.62547,211.45793
227.97,227.86,227.90756,227.88377
227.55,227.29,227.54146,227.18599
220.24,220.05,220.2405,219.83089
219.67,219.51,219.69113,219.67368
214.245,214.13,214.19136,214.16293
220.2,219.88,220.29405,219.99693
216.67,216.63,216.70688,216.66077
225.76,225.58,225.8491,225.5512
213.55,213.24,213.58698,213.23964
211.28,211.13,211.28691,211.12459
210.18,210.0,210.1181,209.90733
209.95,209.77,209.91685,209.68173
211.48,211.45,211.58461,211.3847
214.2,214.16,214.19774,214.16406
216.2,216.1,216.1642,215.99385
214.75,214.71,214.66966,214.90837
214.47,214.46,214.52718,214.35832
232.849,232.82,232.7884,232.7478
214.19,214.045,214.19905,214.09497
213.93,213.81,213.78185,213.91753
217.09,216.92,216.94366,216.2516
209.91,209.69,209.82101,209.67581
210.2,210.06,210.26259,210.08359
210.51,210.415,210.45792,210.31853
209.79,209.6,209.71928,209.54524
